reputation,opportunities,safety,happiness,internet,location,facilities,clubs,food,social,school_id
5,4,3,3,4,2,2,4,1,4,utsc
5,4,4,4,3,3,4,5,3,4,utsc
5,5,5,5,5,5,5,5,5,5,utsc
4,3,5,5,4,4,3,4,3,3,utsc
5,3,5,4,4,3,3,3,4,4,utsc
3,3,4,3,4,2,4,1,3,2,utsc
4,1,2,2,3,1,2,3,3,1,utsc
5,5,5,5,5,5,5,5,5,5,utsc
2,2,3,2,1,1,1,2,3,1,utsc
4,3,3,5,5,4,4,4,4,3,utsc
4,2,2,1,2,1,3,1,3,1,utsc
4,3,0,3,2,3,4,3,1,1,utsc
2,1,0,1,1,1,1,1,1,1,utsc
4,2,0,1,3,3,2,1,1,2,utsc
4,3,0,5,4,3,3,3,3,2,utsc
5,4,0,4,3,2,4,3,3,3,utsc
4,3,0,1,2,3,3,4,3,4,utsc
5,5,0,5,5,5,4,3,3,5,utsc
3,4,0,5,4,3,4,4,2,4,utsc
4,3,0,3,4,3,3,3,5,2,utsc
4,3,0,5,5,2,5,2,4,2,utsc
5,5,0,5,5,5,5,5,5,5,utsc
4,3,0,5,2,4,3,3,3,2,utsc
5,5,0,1,2,3,3,2,2,1,utsc
5,3,0,5,3,5,2,5,1,4,utsc
5,3,0,5,4,5,5,5,2,4,utsc
5,5,0,5,4,5,5,5,2,4,utsc
5,3,0,5,5,4,4,5,3,5,utsc
1,4,0,3,1,1,2,4,2,2,utsc
1,1,0,1,2,1,2,1,1,1,utsc
3,4,0,5,3,4,4,2,3,1,utsc
5,3,0,5,2,2,3,2,2,2,utsc
5,5,0,4,5,5,5,3,3,3,utsg
5,5,0,3,3,5,4,2,3,2,utsg
5,3,0,4,3,4,5,4,3,2,utsg
5,5,0,5,5,5,5,5,3,3,utsg
5,3,0,1,3,4,4,2,3,2,utsg
5,5,0,3,5,5,5,5,5,3,utsg
5,5,0,3,3,5,5,5,3,5,utsg
5,5,0,3,3,5,4,3,4,5,utsg
5,4,0,4,3,5,3,5,3,5,utsg
5,4,0,1,3,4,4,2,3,2,utsg
5,3,0,3,5,3,4,4,3,3,utsg
4,3,0,3,5,5,4,3,4,3,utsg
5,4,0,3,3,4,4,4,3,3,utsg
5,5,0,5,5,5,5,3,5,3,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,4,0,5,5,5,5,5,4,5,utsg
5,5,0,5,5,5,5,5,4,5,utsg
5,5,0,5,4,5,5,5,5,3,utsg
5,2,0,5,3,5,5,4,3,2,utsg
5,3,0,5,2,5,5,4,3,4,utsg
5,5,0,5,4,5,5,5,4,5,utsg
5,4,0,5,5,5,5,5,4,5,utsg
3,5,0,5,4,5,5,4,2,4,utsg
1,1,0,1,3,4,2,1,1,1,utsg
3,3,0,3,5,5,5,2,2,2,utsg
4,2,0,3,4,5,2,1,1,1,utsg
5,1,0,1,3,5,3,1,1,1,utsg
5,5,0,5,5,5,5,3,4,4,utsg
5,4,0,5,4,5,4,5,4,5,utsg
5,4,0,5,5,5,5,4,4,4,utsg
5,5,0,5,4,5,5,5,5,5,utsg
3,2,0,1,3,4,4,2,2,1,utsg
5,5,0,5,4,5,5,4,4,3,utsg
5,4,0,1,3,4,3,2,1,1,utsg
5,5,0,5,2,5,5,3,2,2,utsg
1,1,0,1,1,1,1,1,1,1,utsg
4,1,0,1,1,4,1,2,1,1,utsg
1,1,0,1,1,4,3,1,1,1,utsg
1,1,0,1,2,3,2,1,2,1,utsg
1,2,0,1,2,1,2,1,1,1,utsg
1,1,0,1,3,4,3,1,1,1,utsg
5,5,0,1,3,5,5,3,3,2,utsg
1,1,0,5,2,5,2,1,1,1,utsg
5,4,0,5,4,5,5,5,4,4,utsg
5,5,0,5,4,5,5,3,5,2,utsg
4,1,0,5,4,4,4,4,2,3,utsg
3,3,0,1,3,4,4,3,2,3,utsg
1,1,0,1,2,3,2,1,2,1,utsg
5,3,0,5,4,5,4,3,2,3,utsg
5,5,0,5,5,5,5,5,5,5,utsg
3,3,0,3,1,3,3,3,1,2,utsg
5,4,0,5,4,5,5,3,4,2,utsg
5,5,0,5,3,4,4,2,3,3,utsg
1,1,0,1,1,2,3,1,2,1,utsg
5,5,0,5,4,5,5,3,3,3,utsg
1,1,0,1,1,2,2,1,2,1,utsg
1,1,0,1,1,3,1,1,1,1,utsg
5,4,0,3,4,4,4,3,3,2,utsg
3,2,0,5,5,5,5,4,4,1,utsg
5,4,0,5,5,5,5,5,4,5,utsg
5,4,0,5,5,4,5,4,4,1,utsg
5,5,0,5,5,5,5,5,5,5,utsg
1,1,0,1,1,3,2,1,2,1,utsg
4,5,0,3,3,4,4,4,2,3,utsg
4,1,0,1,3,3,4,1,2,1,utsg
1,1,0,1,1,2,2,1,1,1,utsg
1,1,0,1,2,3,2,1,1,1,utsg
5,5,0,5,4,5,4,3,4,5,utsg
5,3,0,5,4,5,5,3,2,2,utsg
4,4,0,5,4,5,4,4,4,4,utsg
4,3,0,5,3,5,5,5,3,3,utsg
1,1,0,1,1,4,2,1,1,1,utsg
1,1,0,1,1,3,2,1,2,1,utsg
1,1,0,1,1,1,1,1,1,1,utsg
5,5,0,1,5,1,5,2,3,1,utsg
1,1,0,1,1,1,1,1,1,1,utsg
1,1,0,1,1,1,1,1,1,1,utsg
5,4,0,1,5,4,4,1,4,1,utsg
5,5,0,5,1,5,5,3,2,2,utsg
5,5,0,5,4,5,5,3,3,4,utsg
5,5,0,5,4,5,5,3,3,3,utsg
5,5,0,5,5,5,5,4,5,5,utsg
2,4,0,1,3,3,3,3,2,1,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,3,0,5,2,5,5,5,3,5,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,3,0,5,2,5,5,4,3,4,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,5,0,5,5,5,5,5,3,4,utsg
5,5,0,5,3,5,5,5,3,5,utsg
4,4,0,5,5,5,5,4,5,4,utsg
5,4,0,5,3,5,5,3,3,2,utsg
5,4,0,5,2,3,5,4,2,5,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,4,0,5,5,5,5,3,3,3,utsg
5,5,0,5,5,5,5,5,5,5,utsg
4,4,0,5,5,5,5,4,4,4,utsg
4,3,0,1,3,4,2,3,3,3,utsg
5,4,0,5,2,5,4,3,2,3,utsg
5,3,0,5,3,5,5,3,2,1,utsg
5,4,0,5,3,5,5,4,2,4,utsg
4,5,0,5,3,5,5,4,3,4,utsg
2,2,0,1,3,3,4,2,1,1,utsg
2,4,0,3,2,2,3,2,1,2,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,5,0,5,5,5,5,4,4,4,utsg
5,4,0,5,4,5,4,4,2,3,utsg
4,3,0,5,4,5,5,2,4,2,utsg
5,4,0,5,4,5,5,4,3,4,utsg
5,3,0,5,2,5,4,3,3,3,utsg
4,4,0,1,1,5,4,2,1,1,utsg
4,4,0,5,4,4,4,4,4,3,utsg
1,1,0,1,1,1,1,1,1,1,utsg
5,5,0,5,5,5,5,5,5,4,utsg
4,3,0,5,4,5,5,3,3,3,utsg
3,5,0,5,4,5,5,4,3,3,utsg
5,4,0,5,3,5,5,3,1,3,utsg
5,4,0,3,4,4,4,2,5,2,utsg
5,5,0,5,3,4,5,5,4,3,utsg
5,4,0,5,3,3,5,3,4,4,utsg
5,5,0,5,4,5,5,4,3,4,utsg
5,5,0,5,5,5,4,5,2,3,utsg
4,2,0,5,4,5,4,4,4,3,utsg
5,5,0,5,3,5,5,5,3,5,utsg
1,1,0,1,1,5,5,3,1,3,utsg
5,5,0,5,3,5,5,4,2,4,utsg
4,4,0,5,4,3,5,4,4,4,utsg
5,5,0,5,4,5,5,5,4,5,utsg
3,3,0,3,3,4,4,3,3,3,utsg
5,5,0,5,5,5,5,5,5,5,utsg
4,4,0,5,5,5,5,5,5,4,utsg
5,5,0,5,5,5,5,5,5,5,utsg
4,3,0,3,4,5,4,2,2,1,utsg
5,5,0,5,4,5,5,4,4,3,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,3,0,5,4,5,4,2,2,2,utsg
4,3,0,5,5,5,4,2,3,3,utsg
4,4,0,5,2,5,5,4,3,4,utsg
5,4,0,5,4,5,5,4,5,4,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,5,0,5,5,5,5,5,4,5,utsg
4,3,0,5,4,5,5,3,4,3,utsg
5,5,0,5,5,5,5,5,5,5,utsg
3,3,0,3,5,5,5,2,3,2,utsg
5,4,0,5,3,5,4,2,2,2,utsg
5,3,0,5,5,5,5,3,3,3,utsg
5,5,0,5,2,4,5,3,3,2,utsg
5,4,0,5,4,5,5,3,3,3,utsg
1,1,0,1,1,1,2,1,1,1,utsg
5,5,0,5,4,5,4,3,3,2,utsg
3,3,0,1,1,3,2,1,1,1,utsg
5,4,0,3,3,5,5,4,4,3,utsg
4,3,0,5,2,5,5,4,2,3,utsg
5,5,0,5,5,5,5,5,5,5,utsg
5,5,0,5,4,5,5,4,5,5,utsg
4,5,5,5,3,4,4,4,2,4,cc
1,1,1,1,1,1,1,1,1,1,cc
5,5,5,5,5,5,5,5,5,5,cc
5,3,4,4,3,4,4,3,3,4,cc
4,4,5,4,5,3,5,4,4,4,cc
5,5,5,5,5,5,5,5,5,5,cc
5,5,5,4,4,5,5,3,3,5,cc
1,1,3,1,3,2,3,1,1,2,cc
1,1,2,1,2,2,1,1,1,1,cc
5,4,5,5,4,5,4,3,3,5,cc
1,1,2,1,2,1,2,1,1,1,cc
3,4,4,3,3,5,4,3,5,3,cc
5,5,5,3,4,5,1,2,3,1,cc
2,2,4,2,2,3,2,2,1,2,cc
3,3,5,5,4,3,5,5,5,5,cc
4,4,5,3,4,5,3,4,3,4,cc
3,3,4,3,4,4,3,3,3,3,cc
5,5,5,5,5,5,5,5,3,5,cc
4,4,4,3,4,2,4,2,5,3,cc
5,5,5,5,5,5,5,3,5,5,cc
3,3,4,3,5,4,4,1,2,3,cc
5,5,5,5,5,5,5,5,5,5,cc
4,4,3,3,5,5,4,3,3,3,cc
2,2,2,1,2,3,3,2,1,2,cc
4,4,4,4,3,4,4,4,4,4,cc
5,5,5,5,5,5,5,5,5,5,cc
5,5,5,3,4,3,5,5,3,4,cc
4,4,4,3,5,4,4,3,4,4,cc
2,2,5,3,2,1,3,1,1,1,cc
3,2,3,2,2,3,2,2,2,2,cc
1,1,1,1,1,1,1,1,1,1,cc
3,4,5,4,2,5,4,3,3,5,cc
5,5,5,5,5,5,5,5,5,5,cc
5,5,5,5,5,5,5,5,4,5,cc
4,2,3,4,3,5,3,3,3,5,cc
3,3,3,3,3,3,3,3,3,3,cc
1,1,1,1,1,3,1,1,1,1,cc
4,4,4,4,4,4,4,4,4,4,cc
1,2,4,1,3,3,2,3,2,2,cc
3,2,2,3,4,5,3,3,4,2,cc
2,1,1,1,1,5,1,1,1,1,cc
1,1,1,1,2,1,1,2,1,2,cc
1,1,1,1,2,2,1,1,1,1,cc
1,1,3,2,2,1,2,1,1,2,cc
1,1,1,1,1,3,1,1,1,1,cc
3,1,2,1,1,1,2,2,2,1,cc
5,5,5,5,5,5,5,3,3,5,cc
5,5,5,5,5,5,5,5,5,5,cc
1,1,1,1,1,1,1,1,1,1,cc
1,1,1,1,1,1,1,1,1,1,cc
2,1,5,1,3,2,3,2,2,3,cc
3,3,5,3,4,3,4,2,3,4,cc
3,4,3,4,1,4,1,1,1,1,cc
4,5,5,3,5,3,4,2,1,1,cc
2,2,4,1,2,1,1,1,2,1,cc
4,4,5,4,3,4,3,4,3,3,cc
1,1,1,1,1,1,1,1,1,1,cc
3,2,4,2,3,2,3,1,2,3,cc
4,5,5,5,5,4,5,4,3,4,cc
1,1,1,1,1,1,1,1,1,1,cc
1,1,1,1,1,1,3,3,3,1,cc
1,1,1,1,2,1,1,3,2,1,cc
5,4,4,2,4,4,4,2,2,3,cc
3,4,5,4,5,5,4,3,4,3,cc
5,5,5,5,5,5,5,5,5,5,cc
1,1,3,1,2,1,1,1,1,1,cc
2,2,3,2,2,2,2,1,2,2,cc
4,3,4,3,4,2,4,4,3,3,cc
1,1,1,1,1,1,1,1,1,1,cc
1,1,1,1,1,1,1,1,1,1,cc
4,4,5,5,3,4,4,4,3,3,cc
5,5,5,5,5,2,5,5,5,5,cc
2,1,3,1,3,1,2,2,3,1,cc
1,1,1,1,1,1,1,2,2,1,cc
2,1,3,2,2,1,4,2,2,1,cc
2,2,4,2,3,2,3,1,2,2,cc
4,1,4,1,1,2,2,1,1,3,cc
4,5,5,4,3,5,2,3,3,4,cc
4,4,4,5,2,5,3,4,3,5,cc
3,2,3,3,1,3,4,2,2,3,cc
2,1,3,2,3,2,3,2,3,2,cc
3,3,4,1,3,3,4,3,4,3,cc
4,4,4,3,5,4,3,2,3,3,cc
3,3,0,3,3,3,3,3,3,3,cc
1,1,0,1,3,5,2,3,3,3,cc
3,3,0,3,5,4,4,2,4,3,cc
5,5,0,4,5,5,5,3,4,2,cc
3,3,0,2,4,2,3,3,3,2,cc
3,3,0,3,3,3,3,3,3,2,cc
3,2,0,2,2,2,3,1,4,2,cc
3,2,0,1,2,2,2,1,2,1,cc
1,1,0,1,5,3,4,1,3,1,cc
3,2,0,2,3,3,3,1,1,1,cc
4,3,0,4,3,3,3,1,3,5,cc
5,5,0,5,5,5,5,5,5,5,cc
3,3,0,3,2,2,3,3,3,2,cc
5,5,0,5,5,5,5,5,4,5,cc
4,4,0,4,5,4,4,4,4,5,cc
4,5,0,5,4,4,4,4,3,4,cc
3,2,0,3,3,3,3,2,3,3,cc
3,3,0,3,3,4,4,3,3,3,cc
3,3,0,3,3,4,3,2,3,2,cc
3,2,0,3,2,2,3,3,1,2,cc
3,3,0,3,4,3,4,2,3,3,cc
3,3,0,3,4,2,3,3,3,3,cc
1,3,0,1,1,3,2,3,3,3,cc
5,5,0,5,4,5,5,4,3,3,cc
1,1,0,1,1,1,2,1,1,1,cc
5,5,0,5,3,4,5,3,3,4,cc
1,1,0,1,1,1,1,1,1,1,cc
1,1,0,1,3,3,3,3,3,3,cc
2,4,0,1,2,4,4,3,3,3,cc
4,4,0,1,3,3,3,2,1,2,cc
3,3,0,5,3,3,3,3,3,3,cc
2,1,0,1,1,2,2,2,1,2,cc
1,2,0,1,1,3,2,3,2,4,cc
3,3,0,3,1,3,3,1,1,1,cc
2,2,0,1,1,2,2,2,1,2,cc
1,1,0,1,1,1,1,1,1,1,cc
5,5,0,5,5,5,5,5,5,5,cc
5,4,0,5,1,4,5,3,2,3,cc
5,4,0,5,4,3,4,4,5,5,cc
1,1,0,1,1,1,2,3,1,3,cc
3,2,0,3,1,1,4,2,2,2,cc
1,1,0,1,2,5,3,2,2,1,cc
1,1,0,1,1,1,2,1,1,1,cc
1,3,0,3,1,5,1,1,1,1,cc
1,1,0,1,1,1,1,1,1,1,cc
1,1,0,1,2,3,2,1,2,1,cc
2,2,0,1,1,1,3,2,1,2,cc
3,2,0,3,3,2,3,3,4,3,cc
5,4,0,5,5,4,4,3,3,3,cc
3,3,0,3,2,3,3,2,2,2,cc
2,3,0,1,2,4,2,1,1,1,cc
2,3,0,3,1,2,2,2,2,2,cc
2,3,0,1,1,3,3,1,2,1,cc
3,4,0,5,5,4,3,3,2,3,cc
1,1,0,1,3,1,1,1,1,1,cc
4,4,4,4,5,4,5,3,4,4,gb
2,1,3,1,2,3,2,1,2,1,gb
2,1,3,2,3,3,2,2,3,3,gb
5,5,4,5,3,5,4,2,4,3,gb
5,4,5,5,4,5,5,3,3,4,gb
4,3,3,3,2,3,3,2,4,3,gb
3,2,5,1,3,4,2,1,1,1,gb
1,1,3,1,3,2,2,1,1,3,gb
4,4,4,5,5,5,4,5,5,5,gb
3,4,4,3,2,2,3,2,2,3,gb
2,3,3,2,1,4,1,2,1,3,gb
3,3,5,4,2,5,3,3,4,4,gb
4,2,4,2,5,3,3,2,1,3,gb
5,5,5,5,4,5,4,3,2,3,gb
5,4,5,4,3,5,2,2,2,2,gb
4,5,5,4,5,5,3,2,1,2,gb
4,4,4,3,4,4,3,3,4,3,gb
4,4,4,4,5,5,2,5,3,5,gb
2,1,3,1,2,5,2,1,1,2,gb
5,5,5,5,3,5,5,2,2,3,gb
5,5,5,5,5,5,5,5,5,5,gb
3,1,1,1,5,1,1,1,1,1,gb
3,3,2,3,3,5,2,4,1,4,gb
4,5,4,5,5,5,3,4,3,4,gb
4,5,4,5,5,1,4,5,3,5,gb
5,5,5,5,3,5,5,3,2,4,gb
3,4,5,4,5,3,4,3,3,2,gb
5,4,5,5,5,5,5,4,3,5,gb
3,3,5,2,4,1,3,2,2,3,gb
5,5,5,5,5,5,5,5,5,5,gb
4,3,3,3,1,5,2,2,1,2,gb
5,5,5,5,4,5,5,4,5,5,gb
5,3,5,4,4,4,4,3,3,4,gb
5,5,5,4,3,5,5,4,4,4,gb
5,5,5,5,5,5,5,5,5,5,gb
2,2,2,1,2,2,1,3,1,2,gb
5,5,4,4,5,5,3,4,3,3,gb
2,2,5,5,1,2,2,2,1,2,gb
1,1,1,1,3,1,1,1,1,1,gb
3,5,3,2,4,4,2,1,4,1,gb
5,4,3,3,5,4,4,1,2,3,gb
4,4,4,2,4,5,3,2,2,2,gb
2,4,5,5,3,5,3,5,3,5,gb
1,1,1,1,1,1,1,1,1,1,gb
4,4,4,3,4,4,4,4,2,3,gb
2,1,2,2,1,1,1,2,1,2,gb
2,2,4,2,4,3,3,2,1,2,gb
4,5,5,5,5,5,4,2,2,3,gb
3,2,5,1,5,5,2,1,2,1,gb
1,1,5,1,1,1,1,1,1,1,gb
2,1,2,1,1,3,1,2,1,2,gb
4,4,4,3,5,4,3,2,4,1,gb
1,1,1,1,5,5,5,3,4,5,gb
2,2,1,1,1,2,1,3,3,3,gb
1,1,1,1,1,5,1,1,1,1,gb
1,2,1,1,2,2,2,1,1,1,gb
1,1,1,1,1,2,1,1,1,1,gb
3,3,3,1,3,3,3,2,3,3,gb
3,1,4,3,3,4,3,1,3,3,gb
1,1,1,1,3,4,3,1,3,1,gb
5,4,4,4,4,4,4,4,4,4,gb
4,3,3,2,3,2,4,1,3,3,gb
4,1,1,1,1,5,1,1,1,1,gb
4,4,4,4,4,3,4,3,4,3,gb
1,1,1,1,1,5,1,1,1,1,gb
4,3,4,3,3,5,2,1,3,2,gb
4,3,3,2,3,5,3,1,1,2,gb
2,3,2,1,2,3,1,2,3,2,gb
3,2,2,1,2,3,2,2,2,1,gb
4,3,4,3,4,5,2,1,4,2,gb
5,5,5,5,5,5,5,4,4,4,gb
3,5,5,5,4,4,3,2,5,3,gb
5,3,3,3,4,3,2,3,2,3,gb
4,3,5,5,4,4,4,3,3,4,gb
4,4,4,5,4,4,4,2,1,4,gb
4,3,4,4,3,2,3,4,2,3,gb
3,2,4,1,3,4,4,1,3,1,gb
3,1,4,2,3,2,2,2,1,3,gb
3,3,3,3,3,2,2,1,3,2,gb
4,4,5,5,4,5,4,4,3,3,gb
5,2,4,3,3,5,2,1,1,1,gb
3,5,4,1,2,5,2,1,1,1,gb
4,3,5,4,4,4,4,4,3,3,gb
4,5,3,4,4,5,2,4,3,2,gb
4,4,3,4,5,5,5,3,3,3,gb
5,5,5,5,5,5,5,5,5,5,gb
4,3,5,3,4,5,4,3,5,3,gb
4,3,3,1,3,1,1,1,1,1,gb
4,3,4,3,4,4,3,2,4,3,gb
4,5,3,3,4,5,2,1,3,2,gb
3,3,1,1,4,1,1,1,4,1,gb
3,5,1,1,1,5,5,5,4,1,gb
3,1,1,1,2,5,1,1,1,1,gb
5,4,5,5,5,5,5,3,4,3,gb
5,5,5,5,5,5,5,5,5,5,gb
3,2,4,1,1,3,3,1,3,1,gb
5,4,5,4,5,4,5,2,3,3,gb
3,1,3,2,2,3,2,3,1,2,gb
4,3,3,3,1,5,2,5,3,4,gb
5,5,5,5,5,5,3,3,2,3,gb
4,4,4,3,3,3,2,1,1,2,gb
5,3,3,1,3,2,1,2,3,3,gb
4,4,4,4,4,4,4,4,3,4,gb
3,3,4,3,4,3,3,2,2,3,gb
3,2,2,3,3,2,2,1,2,1,gb
4,3,5,3,5,3,3,3,3,3,gb
4,3,5,3,5,4,2,3,3,3,gb
4,3,5,4,5,5,3,1,3,2,gb
1,1,1,1,5,5,5,1,1,1,gb
5,5,5,5,5,5,5,5,3,5,gb
4,3,1,2,3,3,2,3,3,2,gb
3,2,2,2,5,5,1,2,2,4,gb
5,5,5,5,5,5,5,4,4,3,gb
4,3,4,3,3,2,2,4,3,2,gb
2,2,3,2,3,4,3,3,2,3,gb
4,3,4,2,4,5,1,1,2,1,gb
1,1,1,1,1,1,1,1,1,1,gb
4,4,4,4,4,5,2,1,3,3,gb
4,4,4,4,5,5,4,4,3,4,gb
4,5,5,5,4,5,3,3,3,4,gb
3,2,4,2,5,5,4,1,3,3,gb
3,3,4,2,1,3,4,1,3,2,gb
3,4,4,3,4,3,3,4,3,3,gb
5,4,5,5,4,4,5,5,5,5,gb
4,4,5,5,5,5,3,4,5,3,gb
5,5,5,5,5,5,5,5,5,5,gb
